Region,Company,Position,Location,Salary,Application URL,Company URL,Age (days)
USA,Meta,Research Scientist Intern - AI Core Machine Learning - PhD,"Bellevue, WA",$50/hr,https://www.metacareers.com/jobs/532549086023158,https://about.meta.com,24.0
USA,Meta,Research Scientist Intern - Computer Vision for Generative AI - PhD,"Menlo Park, CA",$50/hr,https://www.metacareers.com/jobs/1222691338967664,https://about.meta.com,46.0
USA,Databricks,PhD GenAI Research Scientist Intern,"San Francisco, California",$72/hr,https://databricks.com/company/careers/open-positions/job?gh_jid=7011263002,https://databricks.com,89.0
USA,Netflix,Machine Learning Intern - Fall 2025,"Los Gatos,California,United States of America",$63/hr,https://explore.jobs.netflix.net/careers/job/790302560337,https://www.netflix.com,89.0
USA,Citadel Securities,Quantitative Trading - Intern - US,New York,$125/hr,https://www.citadelsecurities.com/careers/details/quantitative-trading-intern-us/,https://www.citadelsecurities.com/careers,0.0
USA,Citadel Securities,Machine Learning Researcher - PhD Intern - US,New York,$125/hr,https://www.citadelsecurities.com/careers/details/machine-learning-researcher-phd-intern-us/,https://www.citadelsecurities.com/careers,0.0
USA,Citadel Securities,Quantitative Research Analyst Intern - BS/MS - US,New York,$125/hr,https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-us/,https://www.citadelsecurities.com/careers,0.0
USA,Citadel Securities,Quantitative Researcher - PhD Intern - US,New York,$125/hr,https://www.citadelsecurities.com/careers/details/quantitative-researcher-phd-intern-us/,https://www.citadelsecurities.com/careers,0.0
USA,Citadel,Quantitative Researcher - PhD Intern - US,New York,$125/hr,https://www.citadel.com/careers/details/quantitative-researcher-phd-intern-us/,https://www.citadel.com/careers,1.0
USA,Citadel,Quantitative Research Engineer - PhD Intern - US,New York,$125/hr,https://www.citadel.com/careers/details/quantitative-research-engineer-phd-intern-us/,https://www.citadel.com/careers,1.0
USA,Citadel,Quantitative Research Analyst Intern - BS/MS - US,New York,$125/hr,https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-us/,https://www.citadel.com/careers,1.0
USA,Five Rings,Summer Intern 2026 - Quantitative Researcher,New York,$144/hr,https://job-boards.greenhouse.io/fiveringsllc/jobs/4563183008,https://fiverings.com/careers/,4.0
USA,Five Rings,Summer Intern 2026 - Quantitative Trader,New York,$144/hr,https://job-boards.greenhouse.io/fiveringsllc/jobs/4613451008,https://fiverings.com/careers/,4.0
USA,Akuna Capital,Quantitative Development & Strategy Intern - Summer 2026,"Chicago, IL",$75/hr,https://www.akunacapital.com/job-details?gh_jid=7065132,https://akunacapital.com,6.0
USA,Akuna Capital,Quantitative Research Intern - Summer 2026,"Chicago, IL",$75/hr,https://www.akunacapital.com/job-details?gh_jid=7055793,https://akunacapital.com,6.0
USA,Optiver,Quantitative Research Intern - PhD - Summer 2026,"Chicago, Illinois, United States",$125/hr,https://optiver.com/working-at-optiver/career-opportunities/7923892002/?gh_jid=7923892002,https://optiver.com,19.0
USA,Optiver,Quantitative Research Intern - Bachelor’s or Master’s Degree,"Austin, Texas, United States",$125/hr,https://optiver.com/working-at-optiver/career-opportunities/7967593002/?gh_jid=7967593002,https://optiver.com,19.0
USA,Optiver,Quantitative Research Intern - Bachelor’s or Master’s Degree,"Chicago, Illinois, United States",$125/hr,https://optiver.com/working-at-optiver/career-opportunities/8033071002/?gh_jid=8033071002,https://optiver.com,19.0
USA,Optiver,Quantitative Trader Intern - Summer 2026 - Chicago,"Chicago, Illinois, United States",$125/hr,https://optiver.com/working-at-optiver/career-opportunities/7832160002/?gh_jid=7832160002,https://optiver.com,19.0
USA,Optiver,Quantitative Research Intern - PhD - Summer 2026 - Chicago - Austin,"Austin, Texas, United States",$125/hr,https://optiver.com/working-at-optiver/career-opportunities/8055439002/?gh_jid=8055439002,https://optiver.com,19.0
USA,Belvedere Trading,Quantitative Trading Intern - Winter Quarter 2026,"Chicago, Illinois",$72/hr,https://jobs.lever.co/belvederetrading/5e07daf3-a6bb-40d4-8125-b56d2ea20d81/apply,http://www.belvederetrading.com,20.0
USA,D. E. Shaw & Co.,Quantitative Developer Intern - New York - Summer 2026,New York,$127/hr,https://www.deshaw.com/careers/5518,https://www.deshaw.com/careers,45.0
USA,D. E. Shaw & Co.,Quantitative?Analyst Ph.D. Intern - New York - Summer 2026,New York,$127/hr,https://www.deshaw.com/careers/5520,https://www.deshaw.com/careers,45.0
USA,D. E. Shaw & Co.,Quantitative Analyst Intern - New York - Summer 2026?,New York,$127/hr,https://www.deshaw.com/careers/5519,https://www.deshaw.com/careers,45.0
USA,EvenUp,Ph.D.  Intern - Machine Learning & Generative AI,Remote,,,https://www.evenuplaw.com,
USA,Susquehanna International Group,Quantitative Trader Internship: Summer 2026,US IL Chicago,,,https://sig.com,
USA,Allium,Engineering Intern - AI,New York,,,https://www.allium.so,
USA,BILL,2026 Campus Recruiting: Machine Learning Engineer Intern,"Draper, Utah, United States San Jose, California, United States",,,http://www.bill.com,
USA,Susquehanna International Group,Quantitative Trader Internship: Summer 2026,US NY New York,,,https://sig.com,
USA,Berkley Insurance,Data Science Intern,"MO, Chesterfield North Outer Forty",,,https://www.berkley.com,
USA,Sanofi,Winter - Spring 2026 Co-op-Intern- Data Science and Digital Transformation,"Framingham, MA",,,https://www.sanofi.com,
USA,Aquatic Capital Management,AI/LLM Automation Intern - Fall 2025,Chicago,,,https://www.aquatic.com,
USA,Tower Research Capital,Quantitative Trader Intern - Summer 2026,New York,,,https://www.tower-research.com,
USA,Tower Research Capital,Quantitative Trader Intern - PhD 2026,New York,,,https://www.tower-research.com,
USA,American Heart Association,Intern - Data Science-Remote,US TX Dallas,,,https://www.heart.org,
USA,Susquehanna International Group,Quantitative Systematic Trading Internship - Master's: Summer 2026,US NY New York,,,https://sig.com,
